line count	uncompressed bytes	gzip	gzip -9	bzip2	zstd --stdout
1	21947000	0.89787	0.91101	0.92526	0.87467
2	21947000	0.90271	0.93826	0.94347	0.92892
3	21947000	0.90450	0.94763	0.95367	0.94809
4	21947000	0.90542	0.95254	0.95974	0.95754
5	21947000	0.90587	0.95523	0.96266	0.96318
6	21947000	0.90635	0.95754	0.96662	0.96698
7	21947000	0.90660	0.95903	0.96949	0.96977
8	21947000	0.90688	0.96020	0.97067	0.97218
9	21947000	0.90694	0.96064	0.97138	0.97352
10	21947000	0.90704	0.96134	0.97282	0.97525
11	21947000	0.90726	0.96235	0.97409	0.97649
12	21947000	0.90728	0.96253	0.97511	0.97713
13	21947000	0.90737	0.96300	0.97577	0.97795
14	21947000	0.90741	0.96323	0.97648	0.97855
15	21947000	0.90749	0.96359	0.97745	0.97933
16	21947000	0.90756	0.96389	0.97751	0.97995
17	21947000	0.90761	0.96409	0.97779	0.98037
18	21947000	0.90758	0.96417	0.97835	0.98047
19	21947000	0.90768	0.96458	0.97874	0.98116
20	21947000	0.90763	0.96449	0.97903	0.98119
22	21947000	0.90775	0.96501	0.97971	0.98179
24	21947000	0.90778	0.96520	0.98032	0.98214
26	21947000	0.90779	0.96528	0.98069	0.98239
28	21947000	0.90784	0.96554	0.98139	0.98294
30	21947000	0.90786	0.96569	0.98165	0.98338
33	21947000	0.90791	0.96598	0.98217	0.98358
36	21947000	0.90788	0.96605	0.98277	0.98372
39	21947000	0.90788	0.96614	0.98276	0.98406
42	21947000	0.90793	0.96629	0.98320	0.98440
46	21947000	0.90796	0.96642	0.98374	0.98448
50	21947000	0.90802	0.96665	0.98421	0.98495
55	21947000	0.90800	0.96660	0.98418	0.98466
60	21947000	0.90802	0.96677	0.98454	0.98540
66	21947000	0.90805	0.96689	0.98491	0.98506
72	21947000	0.90806	0.96696	0.98529	0.98545
79	21947000	0.90807	0.96705	0.98536	0.98559
86	21947000	0.90807	0.96705	0.98561	0.98562
94	21947000	0.90811	0.96719	0.98599	0.98609
103	21947000	0.90811	0.96727	0.98520	0.98577
113	21947000	0.90812	0.96730	0.98504	0.98616
124	21947000	0.90812	0.96732	0.98490	0.98604
136	21947000	0.90813	0.96737	0.98534	0.98614
149	21947000	0.90812	0.96740	0.98548	0.98625
163	21947000	0.90813	0.96737	0.98553	0.98642
179	21947000	0.90815	0.96750	0.98588	0.98667
196	21947000	0.90815	0.96744	0.98595	0.98661
215	21947000	0.90815	0.96753	0.98549	0.98642
236	21947000	0.90816	0.96753	0.98549	0.98659
259	21947000	0.90816	0.96757	0.98571	0.98664
284	21947000	0.90816	0.96759	0.98597	0.98693
312	21947000	0.90816	0.96760	0.98564	0.98667
343	21947000	0.90817	0.96767	0.98578	0.98664
377	21947000	0.90818	0.96767	0.98593	0.98670
414	21947000	0.90816	0.96764	0.98587	0.98677
455	21947000	0.90819	0.96772	0.98607	0.98667
500	21947000	0.90819	0.96775	0.98606	0.98676
550	21947000	0.90818	0.96772	0.98605	0.98672
605	21947000	0.90818	0.96772	0.98607	0.98663
665	21947000	0.90818	0.96772	0.98599	0.98666
731	21947000	0.90818	0.96772	0.98604	0.98671
804	21947000	0.90818	0.96772	0.98610	0.98674
884	21947000	0.90819	0.96774	0.98602	0.98675
972	21947000	0.90818	0.96772	0.98605	0.98672
